code,description
0013T,
0013U,Gene analysis of solid organ tumor tissue
00140,Anesthesia for procedure on eye
00142,ANESTHESIA EYE LENS SURGERY
00144,Anesthesia for corneal transplant
00145,Anesthesia for retinal surgery
00147,Anesthesia for iridectomy
00148,Anesthesia for ophthalmoscopy
0014A,"Administration of coronavirus vaccine 2, reserved "
0014F,COMP PREOP ASSESS CATARACT SURG W/IOL PLACEMNT
0014M,LIVER DS ALYS 3 BIOMARKERS IA SRM PROGNOSTIC ALG
0014T,
0014U,HEM HMTLMF NEO GENE REARGMT DNA WHL BLD/MARROW
0015F,MELANOMA FOLLOW UP COMPLETED
0015M,ADRENAL CORTCL TUM BIOCHEM ASSAY 25 STRD MRK ALG
0015U,"Drug metabolism (adverse drug reactions), DNA, 22 drug metabolism and transporter genes, real-time PCR, blood or buccal swab, genotype and metabolizer status for therapeutic decision support (Deprecated) "
00160,ANESTHESIA NOSE & ACCESSORY SINUSES NOS
00162,Anesthesia for surgery of nose and sinus
00164,ANES NOSE & ACCESSORY SINUSES BIOPSY SOFT TISSUE
0016M,ONC BLADDER MRNA MICRORA GEN XPRSN PRFLG 209 ALG
0016T,
0016U,ONC HMTLMF NEO RNA BCR/ABL1 BLD/BNE MARROW
00170,Anesthesia for intraoral procedure
00172,Anesthesia for repair of cleft palate
00174,ANES INTRAORAL W/BX EXC RETROPHARYNGEAL TUMOR
00176,Anesthesia for surgery on mouth
0017T,
0017U,ONC HMTLMF NEO JAK2 MUTATION DNA BLD/BNE MARROW
0018T,
0018U,MicroRNA gene analysis of thyroid nodule tissue
00190,Anesthesia for procedure on skull
00192,Anesthesia for radical surgery on skull
0019T,"Extracorporeal shock wave involving musculoskeletal system, not otherwise specified, low energy (Deprecated) "
0019U,RNA gene analysis of tumor tissue
0020T,
0020U,"Drug test(s), presumptive, with definitive confirmation of positive results, any number of drug classes, urine, with specimen verification including DNA authentication in comparison to buccal DNA, per date of service (Deprecated) "
00210,Anesthesia for procedure on brain
00211,ANES INTRACRANIAL CRANIOTOMY/CRANIECTOMY HMTMA
00212,Anesthesia for subdural tap
00214,Anesthesia for intracranial burr holes
00215,ANES INTRACRANIAL/ELEVATION DEPRSD SKULL FX XDRL
00216,ANESTHESIA INTRACRANIAL VASCULAR PROCEDURE
00218,ANES INTRACRANIAL PROCEDURE IN SITTING POSITION
0021A,ADM SARSCOV2 5X10^10VP/.5ML 1
0021T,
0021U,ONC PRST8 DETCJ 8 AUTOANTIBODIES ALG RSK SCOR
00220,ANES INTRACRANIAL CEREBROSPINAL FLUID SHUNTING
00222,Anesthesia for procedure on nerve in brain
0022A,ADM SARSCOV2 5X10^10VP/.5ML 2
0022U,TRGT GEN SEQ ALYS NONSM LNG NEO DNA&RNA 23 GENES
0023A,"Administration of coronavirus vaccine 3, booster "
0023T,
0023U,ONC AML DNA GNTYP INT TANDEM DUP DETCJ/NONDETCJ
0024A,"Administration of coronavirus vaccine 3, reserved "
0024T,
0024U,GLYCA NUC MR SPECTROSCOPY QUANTITATIVE
0025T,
0025U,Measurement of tenovir in urine
0026T,
0026U,ONC THYR DNA&MRNA 112 GENES FNA NDUL ALG ALYS
0027T,
0027U,JAK2 GENE ANALYSIS TRGT SEQ ALYS EXONS 12-15
0028T,
0028U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, copy number variants, common variants with reflex to targeted sequence analysis (Deprecated) "
0029T,
0029U,RX METAB ADVRS RX RXN & RSPSE TRGT SEQ ALYS
00300,Anesthesia for procedure on nerve of head
0030T,
0030U,RX METAB WARFARIN RX RESPONSE TRGT SEQ ALYS
0031A,ADM SARSCOV2 VAC AD26 .5ML
0031T,
0031U,CYP1A2 GENE ANALYSIS COMMON VARIANTS
00320,ANES ESOPH THYRD LARYNX TRACH & LYMPH NECK 1YR
00322,Anesthesia for needle biopsy of thyroid
00326,ANESTHESIA LARYNX & TRACHEA CHILDREN <1 YEAR
0032A,"Administration of coronavirus vaccine 4, dose 2 "
0032T,
0032U,COMT GENE ANALYSIS C.472G>A VARIANT
0033A,"Administration of coronavirus vaccine 4, booster "
0033T,
0033U,HTR2A HTR2C GENE ANALYSIS COMMON VARIANTS
0034A,"Administration of coronavirus vaccine 4, reserved "
0034T,
0034U,TPMT NUDT15 GENE ANALYSIS COMMON VARIANTS
00350,ANESTHESIA MAJOR VESSELS NECK NOS
00352,ANESTHESIA MAJOR VESSELS NECK SIMPLE LIGATION
0035T,
0035U,NEURO CSF DETCJ PRION PRTN QUAKG CONF CONV QUAL
0036T,
0036U,EXOME TUMOR TISSUE & NORMAL SPECIMEN SEQ ALYS
0037T,
0037U,TRGT GEN SEQ ALYS SLD ORGN NEO DNA 324 GENES
0038T,
0038U,Measurement of vitamin D in serum
0039T,
0039U,Testing for anti-DNA antibody
00400,ANES INTEG EXTREMITIES ANT TRUNK & PERINEUM NOS
00402,ANESTHESIA RECONSTRUCTION BREAST
00404,Anesthesia for removal of breast
00406,ANES RADICAL/MODIFIED RADICAL BREAST W/NODES
0040T,
0040U,BCR/ABL1 GENE TLCJ ALYS MAJOR BP QUANTITATIVE
00410,ANES INTEG SYS ELEC CONVERSION ARRHYTHMIAS
0041A,"Administration of coronavirus vaccine 5, dose 1 "
0041T,
0041U,B BURGDORFERI ANTB 5 PRTN GRP IMMUNOBLOT IGM
00420,
0042A,"Administration of coronavirus vaccine 5, dose 2 "
0042T,CEREBRAL PERFUSION ANALYS CT W/BLOOD FLOW&VOLUME
0042U,B BURGDORFERI ANTB 12 PRTN GRP IMMUNOBLOT IGG
0043A,"Administration of coronavirus vaccine 5, booster "
0043T,
0043U,TBRF B GRP ANTB DETCJ 4 RECOMB PRTN IMUNOBLT IGM
0044A,"Administration of coronavirus vaccine 5, reserved "
0044T,
0044U,TBRF B GRP ANTB DETCJ 4 RECOMB PRTN IMUNOBLT IGG
00450,Anesthesia for procedure on scapula
00452,Anesthesia for procedures on clavicle and scapula; radical surgery (Deprecated) 
00454,Anesthesia for biopsy of clavicle
0045T,
0045U,ONC BRST DUX CARC IS MRNA 12 GENES ALG RSK SCOR
0046T,
0046U,FLT3 GENE INT TANDEM DUPL VARIANTS QUANTITATIVE
00470,ANESTHESIA PARTIAL RIB RESECTION NOS
00472,ANESTHESIA PARTIAL RIB RESECTION THORACOPLASTY
00474,ANESTHESIA PARTIAL RIB RESECTION RADICAL
0047T,
0047U,ONC PRST8 MRNA GEN XPRS PRFL 17 GEN ALG RSK SCOR
0048T,
0048U,ONC SLD ORG NEO DNA 468 CANCER ASSOCIATED GENES
0049T,
0049U,Gene analysis (nucleophosmin)
00500,ANESTHESIA ESOPHAGUS
0050T,
0050U,TRGT GEN SEQ ALYS AML 194 GENE INTERROG SEQ VRNT
0051A,"Administration of coronavirus vaccine 6, dose 1 "
0051T,Implantation of a total replacement heart system (artificial heart) with recipient cardiectomy (Deprecated) 
0051U,RX MNTR DRUGS PRESENT LC-MS/MS UR 31 DRUG PANEL
00520,Anesthesia for bronchoscopy
00522,Anesthesia for needle biopsy of pleura
00524,Anesthesia for pneumocentesis
00528,ANES MEDIASTINOSCOPY&THORACSCOPY W/O 1 LUNG VNTJ
00529,ANES MEDIASTINOSCOPY&THORACOSCOPY W/1 LUNG VNT
0052A,"Administration of coronavirus vaccine 6, dose 2 "
0052T,Replacement or repair of thoracic unit of a total replacement heart system (artificial heart) (Deprecated) 
0052U,LPOPRTN BLD W/5 MAJ CLASS AUTO PRFL UCENTRFUGTN
00530,ANES PERMANENT TRANSVENOUS PACEMAKER INSERTION
00532,Anesthesia for central vein access
00534,ANES TRANSVENOUS INSJ/REPLACEMENT PACING CVDFB
00537,ANES CARDIAC ELECTROPHYSIOL STDY W/RF ABLATION
00539,ANESTHESIA TRACHEOBRONCHIAL RECONSTRUCTION
0053A,"Administration of coronavirus vaccine 6, booster "
0053T,"Replacement or repair of implantable component or components of total replacement heart system (artificial heart), excluding thoracic unit (Deprecated) "
0053U,ONC PRST8 CA FISH ALYS 4 GENES NDL BX SPEC ALG
00540,Anesthesia for thoracotomy
00541,ANES THORACOTOMY & THORACOSCOPY W/1 LUNG VNTJ
00542,Anesthesia for removal of lung lining
00544,
00546,ANES THORACOTOMY & THORACOSCOPY PULMONARY RESC
00548,ANES THORACOTOMY &THORACSCOPY TRACHEA & BRONCHI
0054A,"Administration of coronavirus vaccine 6, reserved "
0054T,CPTR-ASST MUSCSKEL NAVIGJ ORTHO FLUOR IMAGES
0054U,RX MNTR 14+ CLASS DRUGS & SBSTS CAPILLARY BLOOD
00550,Anesthesia for sternal debridement 
0055T,CPTR-ASST MUSCSKEL NAVIGJ ORTHO CT/MRI
0055U,CARD HRT TRNSPL 96 TARGET DNA SEQUENCES PLASMA
00560,Anesthesia for procedure on heart
00561,ANES HRT PERICARD SAC&GREAT VSLS W/PMP OXTJ <1YR
00562,ANES HRT PERICRD SAC&GRT VSLS W/PMP OXTJ >1MO PO
00563,ANES HRT PRCRD SAC & GREAT VSL W/PUMP OXTJ HYPTH
00566,ANES DIRECT CABG W/O PUMP OXYGENATOR
00567,ANES DIRECT CABG W/PUMP OXYGENATOR
0056T,
0056U,HEM AML DNA GENE REARRANGEMENT BLOOD/BONE MARROW
0057T,
0057U,"Oncology (solid organ neoplasia), mRNA, gene expression profiling by massively parallel sequencing for analysis of 51 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a normalized percentile rank (Deprecated) "
00580,Anesthesia for heart transplant
0058T,"Cryopreservation; reproductive tissue, ovarian (Deprecated) "
0058U,ONC MERKEL CELL CARC DETCJ ANTB SERUM QUAN
0059T,Cryopreservation; oocyte(s) (Deprecated) 
0059U,ONC MERKEL CELL CARC DETCJ ANTB SERUM REPRTD +/-
00600,ANESTHESIA CERVICAL SPINE & CORD NOS
00604,ANES CERVICAL SPINE & CORD W/PATIENT SITTING
0060T,
0060U,TWN ZYG GEN TRGT SEQ ALYS CHRMS2 FTL DNA MAT BLD
0061A,"Administration of coronavirus vaccine 7, dose 1 "
0061T,
0061U,Spatial frequency domain imaging of skin
00620,ANESTHESIA THORACIC SPINE & CORD NOS
00622,Anesthesia for procedures on thoracic spine and cord; thoracolumbar sympathectomy (Deprecated) 
00625,ANES THRC SPINE & CORD ANT APPR W/O 1 LUNG VENTJ
00626,ANES THORACIC SPINE & CORD ANT APPR W/1 LNG VENT
0062A,"Administration of coronavirus vaccine 7, dose 2 "
0062T,
0062U,AI SLE IGG & IGM ALYS 80 BMRK SRM ALG RSK SCORE
00630,ANESTHESIA LUMBAR REGION NOS
00632,Anesthesia for lumbar sympathectomy
00634,Anesthesia for procedure to dissolve disk in lower spine (Deprecated) 
00635,Anesthesia for spinal tap
0063A,"Administration of coronavirus vaccine 7, booster "
0063T,
0063U,NEURO AUTISM 32 AMINES PLSM ALG METAB SIGNATURE
00640,Anesthesia for manipulation of spine
0064A,"Administration of coronavirus vaccine 7, reserved "
0064T,
0064U,Antibody testing for syphilis
0065T,
0065U,Non-antibody testing for syphilis
0066T,
0066U,PAMG-1 IA W/DIR OPT OBS CERVICO-VAG FLU EA SPEC
00670,ANESTHESIA EXTENSIVE SPINE & SPINAL CORD
0067T,
0067U,ONC BRST IMHCHEM PRTN XPRS PRFL 4 BMRK CA PRTN
0068T,
0068U,CANDIDA SPECIES PANEL AMP PRB TQ W/QUAL REPORT
0069T,
0069U,ONC CLRCT MICRORNA XPRS PRFL MIR-31-3P ALG
00700,ANESTHESIA UPPER ANTERIOR ABDOMINAL WALL NOS
00702,Anesthesia for percutaneous liver biopsy
0070T,
0070U,CYP2D6 GENE ANALYSIS COMMON & SELECT RARE VRNTS
0071A,"Administration of coronavirus vaccine 8, dose 1 "
0071T,US ABLATJ UTERINE LEIOMYOMATA < 200 CC TISSUE
0071U,CYP2D6 GENE ANALYSIS FULL GENE SEQUENCE
0072A,"Administration of coronavirus vaccine 8, dose 2 "
0072T,US ABLATJ UTERINE LEIOMYOMAT >/EQUAL 200 CC TISS
0072U,CYP2D6 GENE TRGT SEQ ALYS CYP2D6-2D7 HYBRID GENE
00730,ANESTHESIA UPPER POSTERIOR ABDOMINAL WALL
00731,ANESTHESIA UPPER GI ENDOSCOPIC PX NOS
00732,ANESTHESIA UPPER GI ENDOSCOPIC PX ERCP
0073A,"Administration of coronavirus vaccine 8, booster "
0073T,Compensator-based beam modulation radiation treatment delivery per session (Deprecated) 
0073U,CYP2D6 GENE TRGT SEQ ALYS CYP2D7-2D6 HYBRID GENE
00740,"Anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duodenum (Deprecated) "
0074A,"Administration of coronavirus vaccine 8, reserved "
0074T,
0074U,CYP2D6 TRGT SEQ ALYS NONDUP GENE DUPL/MLT TRANS
00750,ANESTHESIA HERNIA REPAIR UPPER ABDOMEN NOS
00752,ANES HRNA RPR UPR ABD LMBR&VENTRAL HERNIA&DEHISC
00754,Anesthesia for repair of omphalocele
00756,ANES HRNA REPAIR UPR ABD TABDL RPR DIPHRG HRNA
0075T,TCAT PLMT XTRC VRT CRTD STENT RS&I PRQ 1ST VSL
0075U,CYP2D6 GENE TRGT SEQ ALYS 5' GENE DUPL/MLT
0076T,TCAT PLMT XTRC VRT CRTD STENT RS&IPRQ EA VSL
0076U,CYP2D6 GENE TRGT SEQ ALYS 3' GENE DUPL/MLT
00770,ANESTHESIA MAJOR ABDOMINAL BLOOD VESSELS
0077T,
0077U,IG PARAPROTEIN QUAL IMPRCIP&MS BLD/UR W/ISOTYPE
0078T,
0078U,PAIN MGT OPIOID USE DO GNOTYP PNL 16 CMN VRNTS
00790,ANES INTRAPERITONEAL UPPER ABDOMEN W/LAPS NOS
00792,Anesthesia for partial hepatectomy
00794,Anesthesia for total pancreatectomy
00796,Anesthesia for liver transplant
00797,ANES IPR UPPER ABDOMEN LAPS GASTRIC RSTCV MO
0079T,
0079U,CMPRTV DNA ALYS MLT SNPS UR&BUCCAL SPEC ID VERIF
00800,ANESTHESIA LOWER ANTERIOR ABDOMINAL WALL NOS
00802,Anesthesia for panniculectomy
0080T,
0080U,ONC LUNG 5 CLINICAL RISK FACTORS ALG PRBLTY MAL
00810,"Anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum (Deprecated) "
00811,ANESTHESIA LOWER INTST ENDOSCOPIC PX NOS
00812,Anesthesia for screening colonoscopy
00813,ANESTHESIA COMBINED UPPER&LOWER GI ENDOSCOPIC PX
0081A,"Administration of coronavirus vaccine 9, dose 1 "
0081T,
0081U,"Oncology (uveal melanoma), mrna, gene-expression profiling by real-time rt-pcr of 15 genes (12 content and 3 housekeeping genes), utilizing fine needle aspirate or formalin-fixed paraffin-embedded tissue, algorithm reported as risk of meta... (Deprecated) "
00820,ANESTHESIA LOWER POSTERIOR ABDOMINAL WALL
0082A,"Administration of coronavirus vaccine 9, dose 2 "
0082T,
0082U,RX TST DEF 90+ RX/SBSTS UR REPRT PRES/ABS EA RX
00830,ANESTHESIA HERNIA REPAIR LOWER ABDOMEN NOS
00832,ANES LWR ABD VENTRAL & INCISIONAL HERNIA REPAIR
00834,ANES HERNIA REPAIR LOWER ABDOMEN NOS & 1YR AGE
00836,ANES HRNA RPR LWR ABD NOS INFTS <37WK BRTH/50WK
0083A,"Administration of coronavirus vaccine 9, booster "
0083T,
0083U,ONC RSPSE CHEMOTX RX MOTILITY CNTRST TOMOGRAPHY
00840,ANESTHESIA INTRAPERITONEAL LOWER ABD W/LAPS NOS
00842,Anesthesia for amniocentesis
00844,Anesthesia for abdominoperineal resection
00846,Anesthesia for radical hysterectomy
00848,Anesthesia for pelvic exenteration
0084A,"Administration of coronavirus vaccine 9, reserved "
0084T,
0084U,DNA red blood cell antigen typing
00850,
00851,Anesthesia for tubal ligation
00855,
00857,
0085T,Breath test for heart transplant rejection (Deprecated) 
0085U,"Cytolethal distending toxin B (CdtB) and vinculin IgG antibodies by immunoassay (ie, ELISA) (Deprecated) "
00860,ANES EXTRAPERITONEAL LWR ABD W/URINARY TRACT NOS
00862,Anesthesia for renal procedure
00864,Anesthesia for total cystectomy
00865,Anesthesia for radical prostatectomy
00866,Anesthesia for adrenalectomy
00868,Anesthesia for renal transplant
00869,
0086T,
0086U,NFCT DS BACT&FNG ORG ID BLD CUL RRNA FISH 6+TRGT
00870,Anesthesia for cystolithotomy
00872,ANES LITHOTRP XTRCORP SHOCK WAVE W/WATER BATH
00873,ANES LITHOTRP XTRCORP SHOCK WAVE W/O WATER BATH
0087T,
0087U,CARD HRT TRNSPL MRNA GEN XPRS PRFL 1283 GENE ALG
00880,ANESTHESIA MAJOR LOWER ABDOMINAL VESSELS NOS
00882,Anesthesia for inferior vena cava ligation
00884,
0088T,
0088U,TRNSPLJ MED KDN ALGRFT REJ 1494 GENES ALG
0089T,
0089U,ONC MLNMA GEN XPRS PRFL RTQPCR PRAME & LINC00518
00900,
00902,ANESTHESIA ANORECTAL PROCEDURE
00904,Anesthesia for procedure on perineum
00906,ANESTHESIA VULVECTOMY
00908,ANESTHESIA PERINEAL PROSTATECTOMY
0090T,
0090U,ONC CUTAN MLNMA MRNA GEN XPRS PRFL 23 GENES ALG
00910,Anesthesia for urethrocystoscopy
00912,ANES TRANSURETHRAL RESECTION OF BLADDER TUMOR
00914,ANESTHESIA TRANSURETHRAL RESECTION OF PROSTATE
00916,ANES TRURL POST-TRURL RESECTION BLEEDING
00918,ANES TRURL FRAGMNTJ MANJ&/RMVL URETERAL CALCULUS
0091A,"Administration of coronavirus vaccine 10, dose 1 "
0091T,
0091U,ONC CLRCT SCR CLL ENUM CRCG TUM CLL WHL BLD ALG
00920,Anesthesia for open urethral procedure
00921,Anesthesia for vasectomy
00922,ANES SEMINAL VESICLES INCL OPEN URETHRAL PX
00924,ANES UNDSCND TESTIS UNI/BI INCL OPEN URTL PX
00926,Anesthesia for radical inguinal orchiectomy
00928,Anesthesia for radical abdominal orchiectomy
0092A,"Administration of coronavirus vaccine 10, dose 2 "
0092T,Insertion of upper spine artificial disc with decompression of nerve roots (Deprecated) 
0092U,ONC LUNG 3 PRTN BMRK IA PLSM ALG RSK SCOR MALIG
00930,Anesthesia for bilateral orchiopexy
00932,Anesthesia for removal of penis
00934,ANES RAD AMP PENIS W/BI INGUINAL LYMPH NODE RMVL
00936,ANES RAD AMP PENIS W/BI INGUNL&ILIAC LYMPH RMOVL
00938,ANES INSJ PENILE PROSTH PRNL INCL OPEN URTL
0093A,"Administration of coronavirus vaccine 10, booster "
0093T,
0093U,RX MNTR 65 COM DRUGS LC-MS/MS UR DETC/NOT DETC
00940,Anesthesia for biopsy of labia
00942,Anesthesia for colpotomy
00944,Anesthesia for vaginal removal of uterus
00946,
00948,Anesthesia for cervical cerclage
0094A,"Administration of coronavirus vaccine 10, reserved "
0094T,
0094U,Rapid sequence gene testing
00950,Anesthesia for culdoscopy
00952,Anesthesia for hysteroscopy
00955,
0095T,Removal of upper spine artificial disc
0095U,INFLAMMATION EE ELISA ALYS ALG PREDICT PROB IDX
0096T,
0096U,HPV HIGH RISK TYPES MALE URINE
0097T,
0097U,GI PTHGN MULT REV TRANS&AMP PRB TECH 22 TRGT
0098T,REVJ TOT DISC ARTHRP ANT APPR CRV EA NTRSPC
0098U,RESPIR PTHGN MULT REV TRANS&AMP PRB TECH 14 TRGT
0099T,Implantation of intrastromal corneal ring segments (Deprecated) 
0099U,RESPIR PTHGN MULT REV TRANS&AMP PRB TECH 20 TRGT
01000,
0100T,PLMT SCJNCL RTA PROSTH&PLS&IMPLTJ INTRA-OC RTA
0100U,RESPIR PTHGN MULT REV TRANS&AMP PRB TECH 21 TRGT
0101A,"Administration of coronavirus vaccine 11, dose 1 "
0101T,EXTRCORPL SHOCK WAVE MUSCSKELE NOS HIGH ENERGY
0101U,HERED COLON CA DO GEN SEQ ALYS PANEL 15 GENES
0102A,"Administration of coronavirus vaccine 11, dose 2 "
0102T,EXTRCRPL SHOCK WAVE W/ANES LAT HUMERL EPICONDYLE
0102U,HERED BRST CA RLTD DO GEN SEQ ALYS PNL 17 GENES
0103A,"Administration of coronavirus vaccine 11, booster "
0103T,Measurement of vitamin B-12 deficiency marker (Deprecated) 
0103U,HERED OVARIAN CANCER GEN SEQ ALYS PANEL 24 GENES
0104A,"Administration of coronavirus vaccine 11, reserved "
0104T,
0104U,"Hereditary pan cancer (eg, hereditary breast and ovarian cancer, hereditary endometrial cancer, hereditary colorectal cancer), genomic sequence analysis panel utilizing a combination of ngs, sanger, mlpa, and array cgh, with mrna analytics... (Deprecated) "
0105T,
0105U,NEPHROLOGY CKD ECLIA TUMOR NECROSIS ALG RKFD
0106T,QUANT SENSORY TEST&INTERPJ/XTR W/TOUCH STIMULI
0106U,GASTRIC EMPTYING SERIAL COLLJ 7 TIMED BRTH SPEC
0107T,QUANT SENSORY TEST&INTERPJ/XTR W/VIBRJ STIMULI
0107U,C DIFF TOXIN ANTIGEN DETCJ IA TECH STOOL QUAL
0108T,QUANT SENSORY TEST&INTERPJ/XTR W/COOL STIMULI
0108U,GI BARRETTS ESOPH QUAN IMMUNOLABEL 9 PRTN BMRK
0109T,QUANT SENAORY TEST&INTERPJ/XTR W/HT-PN STIMULI
0109U,ID ASPERGILLUS DNA 4 SPECIES BLD LVG FLU/TISS
0110T,QUANT SENSORY TEST&INTERPJ/XTR OTHER STIMULI
0110U,RX MNTR 1+ORAL ONC RX&SBSTS SRM/PLSM CAP/VEN BLD
01110,
01112,ANES BONE MARROW ASPIR&/BX ANT/PST ILIAC CREST
0111T,Long-chain (C20-22) omega-3 fatty acids in red blood cell (RBC) membranes (Deprecated) 
0111U,ONCOLOGY COLON CANCER TRGT KRAS&NRAS GENE ALYS
01120,ANESTHESIA ON BONY PELVIS
0112U,IADI TRGT SEQ ALYS 16S&18S RRNA GENES
01130,Anesthesia for revision of body cast
0113U,ONCOLOGY PRST8 MEAS PCA3&TMPRSS2-ERG UR&PSA SRM
01140,ANESTHESIA INTERPELVI ABDOMINAL AMPUTATION
0114U,GI BARRETTS ESOPHAGUS VIM&CCNA1 MTHYLTN ALYS ALG
01150,Anesthesia for removal of pelvic bone tumor
0115T,
0115U,RESPIR IADNA 18 VIRAL TYPE&SUBTYPE & 2 BACT TRGT
01160,ANES CLOSED SYMPHYSIS PUBIS/SACROILIAC JOINT
0116T,
0116U,RX MNTR NZM IA 35+DRUGS LC-MS/MS ORAL FLUID ALG
01170,ANES OPEN SYMPHYSIS PUBIS/SACROILIAC JOINT
01173,Anesthesia for open repair of pelvic fracture
0117T,
0117U,PAIN MGMT ALYS 11 ENDOGENOUS ANALYTES URINE ALG
01180,Anesthesia for obturator neurectomy; extrapelvic (Deprecated) 
0118U,TRANSPLANTATION MED QUAN DON-DRV CLL-FR DNA PLSM
01190,Anesthesia for obturator neurectomy; intrapelvic (Deprecated) 
0119U,CARDIOLOGY CERAMIDES LIQ CHROM TANDEM MS PLASMA
01200,ANESTHESIA CLOSED HIP JOINT PROCEDURE
01202,ANESTHESIA ARTHROSCOPIC HIP JOINT PROCEDURE
0120T,
0120U,ONC B CLL LYMPHM MRNA GENE XPRSN PRFL 58 GEN ALG
01210,ANESTHESIA OPEN HIP JOINT PROCEDURE NOS
01212,Anesthesia for disarticulation of hip
01214,Anesthesia for total hip arthroplasty
01215,ANESTHESIA OPEN REVISION TOTAL HIP ARTHROPLASTY
0121U,SICKLE CELL DISEASE VCAM-1 WHOLE BLOOD
01220,ANESTHESIA CLOSED PROCEDURES UPPER 2/3 FEMUR
0122U,SICKLE CELL DISEASE P-SELECTIN WHOLE BLOOD
01230,ANESTHESIA OPEN PROCEDURES UPPER 2/3 FEMUR NOS
01232,ANESTHESIA UPPER 2/3 FEMUR AMPUTATION
01234,ANES UPPER 2/3 FEMUR RADICAL RESCECTION
0123T,Surgical creation of drainage tract to relieve increased eye pressure (Deprecated) 
0123U,Test for fragility of red blood cells
01240,
0124T,
0124U,"Fetal congenital abnormalities, biochemical assays of 3 analytes (free beta-hCG, PAPP-A, AFP), time-resolved fluorescence immunoassay, maternal dried-blood spot, algorithm reported as risk scores for fetal trisomies 13/18 and 21 (Deprecated) "
01250,Anesthesia for procedure on bursa of upper leg
0125U,"Fetal congenital abnormalities and perinatal complications, biochemical assays of 5 analytes (free beta-hCG, PAPP-A, AFP, placental growth factor, and inhibin-A), time-resolved fluorescence immunoassay, maternal serum, algorithm reported a... (Deprecated) "
01260,ANES VEINS OF UPPER LEG INCLUDING EXPLORATION
